昵称,月连接用户数(W),月深度用户数(W),星图id,内容垂类,粉丝量,60s以上视频报价,男性粉丝比例,24-30岁粉丝比例,31-40岁粉丝比例,41-50岁粉丝比例,50岁以上粉丝比例,星图指数,性价比指数,预期播放量,互动率,完播率,预期CPE,预期CPM,总分,等级
车圈小晨,,327.6,6.67452E+18,汽车,1274243,85400,0.68,0.19,0.44,0.21,0.09,78.3,67.05504448,8371,0.0096,0.0674,1062.696611,10201.89,10.6,S级
神奇阿尔法,,11.9,7.21256E+18,"旅行, 汽车, 运动健身",1566417,100000,0.36,0.13,0.41,0.1,0.36,61.42,0,32109,0.1954,0.0062,15.93854454,3114.39,5.8,B级
车圈崔哥,,25.1,6.69957E+18,汽车,1573261,150000,0.49,0.12,0.36,0.25,0.24,69.03,65.23277645,29058,0.0095,0.1567,543.3778541,5162.09,7.4,A级
明哥说车,,60.9,6.85405E+18,汽车,1423418,23000,0.77,0.15,0.37,0.27,0.17,72.51,67.84878333,41909,0.0136,0.058,40.35353911,548.81,10.6,S级
懂车师姐佳子,,43.2,7.1631E+18,汽车,1655447,33000,0.53,0.03,0.06,0.05,0.85,71.42,0,16987,0.4765,0.1206,4.076940264,1942.66,8.6,A级
洪哥说车,,46.4,6.85409E+18,汽车,1437508,21200,0.77,0.1,0.36,0.32,0.21,66.68,67.94377132,35153,0.0145,0.1251,41.59158437,603.08,9.4,A级
星车场,,4.8,6.87017E+18,汽车,1242856,200000,0.86,0.06,0.31,0.38,0.24,58.92,60.77749626,2183,0.0303,0.1071,3023.664712,91617.04,6.8,B级
熊仔说,,7.4,6.63918E+18,汽车,1507742,80000,0.84,0.15,0.28,0.17,0.04,48.64,47.22712299,2794,0.9719,0.0106,29.46062819,28632.78,6.6,B级
驾校一点通,,91.6,6.72518E+18,汽车,1537370,20600,0.65,0.17,0.37,0.26,0.13,66.92,69.66798293,86528,0.0032,0.4136,74.39788277,238.07,8.2,A级
精选直通车,,159.2,6.62966E+18,汽车,1699095,45000,0.92,0.25,0.45,0.16,0.09,83.14,84.17403631,7472,0.0037,0.0176,1627.698362,6022.48,11.6,S级
一车一世界,,44.3,6.85405E+18,汽车,1539991,24800,0.76,0.1,0.35,0.32,0.21,66.13,68.83779661,31592,0.0117,0.0671,67.09477462,785.01,9.4,A级
车妹show科技,,109.9,6.62966E+18,汽车,1277749,100000,0.42,0.13,0.43,0.23,0.11,73.25,49.88607247,10146,0.0246,0.187,400.6545092,9856.1,8.1,A级
玩车廖布斯,,46.9,7.1691E+18,汽车,1462204,60000,0.71,0.08,0.36,0.35,0.2,74.84,0,24776,0.0148,0.0494,163.6282715,2421.7,9.6,A级
车神盖茨比,,15.1,6.61844E+18,汽车,1287445,36000,0.31,0.08,0.42,0.24,0.1,48.9,52.14755673,5201,1,0.0342,6.921745818,6921.75,7.3,A级
陈田源车件,,21.4,6.67461E+18,汽车,1621418,0,0.97,0.23,0.49,0.19,0.04,68.67,66.11862298,28462,0.009,0.1419,0,,11.4,S级
文迪的旅行,,16.4,7.18064E+18,"旅行, 汽车, 颜值达人",1671923,80000,0.51,0.03,0.1,0.2,0.66,56.5,0,23614,0.6099,0.0098,5.554715173,3387.82,5.6,B级
撸车师兄,,121,6.79477E+18,汽车,1262740,20000,0.95,0.28,0.49,0.14,0.03,76.58,71.66124646,10320,0.0058,0.0561,334.135258,1937.98,9.4,A级
电车牛主任,,35.3,6.95422E+18,汽车,1660419,80000,0.68,0.2,0.4,0.14,0.09,72.96,58.25723151,4840,0.1642,0.0512,100.6633716,16528.93,9.6,A级
懂车的马漂亮,,2.8,6.87017E+18,汽车,1450817,50000,0.67,0.05,0.32,0.35,0.27,54.85,86.79360671,40239,0.1239,0.0699,10.02885884,1242.58,11.3,S级
万哥说车,,7,6.87017E+18,汽车,1316642,15800,0.83,0.09,0.39,0.33,0.19,65.1,79.68526795,17008,0.0144,0.0536,64.51212501,928.97,10.4,S级
