昵称,月连接用户数(W),月深度用户数(W),星图id,内容垂类,粉丝量,60s以上视频报价,男性粉丝比例,24-30岁粉丝比例,31-40岁粉丝比例,41-50岁粉丝比例,50岁以上粉丝比例,星图指数,性价比指数,预期播放量,互动率,完播率,预期CPE,预期CPM,总分,等级
严北大秘书长,1886.1,825.6,6.97904E+18,汽车,203184,6600,0.95,0.43,0.28,0.03,0.02,82.19,60,655103,0.01,0.32,1.00747516,10.07,14.2,S级
约翰John,1742.4,368.6,6.95123E+18,汽车,207851,8000,0.57,0.15,0.23,0.1,0.14,73.57,69.75937145,86441,0.0745,0.1504,1.242264092,92.55,12.7,S级
车美美,1.5,0.9,7.03306E+18,汽车,201278,26000,0.97,0.27,0.59,0.09,0.01,59.02,67.587239,323918,0,,2.6E+13,80.27,6.7,B级
胡杨林,292.5,150.3,6.87017E+18,汽车,207856,60000,0.93,0.37,0.35,0.05,0.02,72.43,69.4864902,64217,0.009,0.1775,103.8146701,934.33,11.2,S级
集车,49.4,21.8,6.79732E+18,汽车,205008,200000,0.94,0.23,0.48,0.18,0.07,69.42,67.2499964,27208,0.0176,0.0274,417.6579081,7350.78,9.2,A级
松果爸的未来出行,353.5,85.8,6.86856E+18,汽车,201430,93300,0.78,0.25,0.51,0.12,0.06,77.3,67.10691005,9318,0.0282,0.0115,355.0666064,10012.88,10,S级
大宇桐搞笑,232.3,97.9,6.62966E+18,汽车,202871,0,0.64,0.25,0.45,0.13,0.09,68.08,46.01166728,39497,0.0031,0.246,0,,9.8,A级
机车百科-SC,318.7,80.6,6.98999E+18,汽车,202018,11100,0.93,0.31,0.26,0.06,0.02,77.27,60,40250,0.0239,0.0501,11.5387614,275.78,10.7,S级
有车有肉_肉肉,51.8,23.6,6.95012E+18,汽车,201187,35000,0.64,0.19,0.28,0.06,0.34,71.03,60,14929,0.1823,0.0339,12.86028691,2344.43,10.7,S级
酷车一族,175.5,82.7,7.05342E+18,汽车,202903,10300,0.9,0.14,0.49,0.23,0.1,68.05,60,71489,0.0116,0.1402,12.42052672,144.08,10,S级
保镖的车库,197.9,83.4,7.07826E+18,汽车,202993,50000,0.96,0.44,0.31,0.03,0.01,74.54,66.14247478,52752,0.0278,0.0219,34.0946533,947.83,10.4,S级
真会玩车的蛋哥,1531,836.5,7.03251E+18,汽车,207064,25600,0.88,0.23,0.46,0.15,0.09,78.67,60,21021,0.0071,0.0223,171.5253224,1217.83,8.6,A级
不懂车Rs,186.9,91.3,6.95468E+18,汽车,202096,12300,0.86,0.26,0.3,0.08,0.17,67.34,60,34242,0.0444,0.041,8.090270049,359.21,10,S级
光看车,7,5.9,7.23339E+18,汽车,208725,26300,0.48,0.02,0.06,0.13,0.79,60.02,0,620,0.3548,0.0154,119.5584973,42419.35,5.2,B级
UGR China 李政谕,98.3,49.7,6.8602E+18,汽车,207238,13000,0.98,0.42,0.35,0.04,0.01,69.07,68.9977048,39633,0.0142,0.0513,23.09925965,328.01,10,S级
木淋,194.8,31.9,6.93765E+18,汽车,201586,1000,0.97,0.27,0.34,0.12,0.05,66.96,62.22366042,76776,0.0382,0.1756,0.340966063,13.02,13,S级
大旗侃车,19.1,11,6.87016E+18,汽车,207520,35000,0.65,0.14,0.36,0.23,0.21,53.33,42.93772319,368,0.0627,0.2487,1516.885098,95108.7,8.4,A级
豌豆儿,1.8,1.2,6.62966E+18,汽车,208558,18000,0.77,0.23,0.37,0.13,0.06,41.7,45.14243228,2450,0.6878,0.0312,10.68179525,7346.94,8.9,A级
丽珠车友会,125.6,39.4,6.87011E+18,汽车,207999,11300,0.87,0.08,0.4,0.32,0.18,70.24,69.33600507,30748,0.0125,0.1471,29.4002862,367.5,11.2,S级
爱车的飞机,66.6,33.7,6.83E+18,汽车,208292,31600,0.97,0.14,0.49,0.29,0.05,65.52,65.99228699,25338,0.0085,0.1232,146.7221982,1247.14,10,S级
LIANG总,43,22.4,6.80883E+18,汽车,208205,10900,0.39,0.16,0.21,0.13,0.07,69.55,65.80472853,13597,0.1165,0.188,6.881093753,801.65,8.5,A级
iAcro裤裆老爷,33,10.2,6.87016E+18,汽车,201720,50000,0.94,0.34,0.36,0.07,0.03,55.15,67.92745312,10136,0.0157,0.0373,314.1982415,4932.91,9.4,A级
公路伝说,46.3,18.7,6.99091E+18,汽车,209199,15000,0.72,0.16,0.24,0.07,0.43,67.52,66.46049758,8898,0.0241,0.1213,69.94904911,1685.77,10,S级
爱摩托的小叔,79.9,32,6.87017E+18,汽车,204047,9900,0.93,0.19,0.45,0.21,0.06,72.38,85.44170636,11309,0.0082,0.0926,106.757191,875.41,14.2,S级
成都二姐（美式重机）,1.3,0.7,7.12459E+18,汽车,208804,19000,0.97,0.09,0.31,0.33,0.25,58.15,60,56826,0,,1.9E+13,334.35,5.2,B级
HD说车,27.1,10.6,6.87017E+18,汽车,203132,120000,0.49,0.32,0.29,0.14,0.18,55.58,31.76007271,876,0.2508,0.0528,546.1973739,136986.3,6.4,B级
长春阿迪车行,92.6,49.6,6.86121E+18,汽车,202551,5000,0.89,0.24,0.44,0.17,0.1,70.39,68.34638741,23612,0.005,0.1681,42.35134677,211.76,10,S级
爱聊车,182.3,42.5,6.62966E+18,汽车,200096,10000,0.95,0.29,0.43,0.11,0.05,65.47,52.17029649,23655,0.0031,0.0349,136.3689052,422.74,7.8,A级
大鲁改车,134.6,66.7,6.87016E+18,汽车,209269,11000,0.95,0.32,0.45,0.1,0.02,76.42,71.65384283,9721,0.0099,0.0389,114.3000834,1131.57,11.2,S级
诗和引擎,244.4,60.1,6.97888E+18,汽车,204687,5000,0.78,0.26,0.32,0.09,0.06,72.89,69.17962241,27914,0.032,0.2122,5.597549617,179.12,12.2,S级
路遥马力说,,11.2,6.82068E+18,"汽车, 测评",198118,100000,0.47,0.14,0.45,0.12,0.22,50.25,62.17642955,4258,1,0.0344,23.48520432,23485.2,6.8,B级
喜欢健身的驾校教练,,282.6,7.23868E+18,剧情搞笑,177343,25800,0.83,0.36,0.17,0.02,0.01,72.05,0,806490,0.0212,0.3115,1.508984776,31.99,13.6,S级
大头开车,,670.1,7.23543E+18,汽车,197866,5500,0.89,0.22,0.42,0.16,0.1,80.01,0,270133,0.0099,0.1109,2.056600103,20.36,13.6,S级
械十一,,1022.4,7.28795E+18,汽车,158094,14600,0.96,0.26,0.41,0.15,0.06,78.44,0,72754,0.0087,0.1819,23.0662358,200.68,9.6,A级
荆楚视频,,8.9,6.96282E+18,汽车,191922,200000,0.32,0.04,0.34,0.08,0.52,55.04,0,809,0.013,0.0614,19016.82989,247218.79,5.3,B级
你的黑桃吖～,,5.9,6.67336E+18,"汽车, 颜值达人",120916,42000,0.8,0.11,0.62,0.13,0.06,44.21,40.52882504,4069,1,0.01,10.32194642,10321.95,7.1,A级
皖K阿龙(过劲大队）,,50,7.13769E+18,生活,136858,7000,0.96,0.4,0.38,0.05,0.01,65.8,60,149116,0.0127,0.1895,3.696324354,46.94,11.4,S级
Ju里夫人,,175.4,7.20311E+18,汽车,113949,20000,0.91,0.37,0.2,0.03,0.01,69.08,0,127823,0.0066,0.1941,23.70702479,156.47,7.6,A级
小阿兵,,218.4,7.00277E+18,生活,146343,10000,0.82,0.37,0.49,0.07,0.02,74.33,60,407520,0.01,0.3007,2.453867295,24.54,13.6,S级
迟三岁,,601.3,6.87017E+18,汽车,183083,12000,0.85,0.34,0.27,0.05,0.02,77.56,60,304337,0.0222,0.0733,1.776124955,39.43,12.6,S级
供应商,,826.5,7.05813E+18,汽车,167436,9500,0.89,0.17,0.22,0.09,0.11,88.22,60,88565,0.0357,0.383,3.004645657,107.27,11.1,S级
随便聊聊车,,125.5,7.00945E+18,汽车,198666,50000,0.91,0.3,0.48,0.11,0.04,73.05,73.12358799,143390,0.0217,0.0886,16.06909454,348.7,12.1,S级
王洪浩的lu,,98.3,7.17651E+18,汽车,186752,300000,0.95,0.32,0.26,0.04,0.02,67.95,0,39436,0.0442,0.0667,172.110009,7607.26,8.4,A级
777,,59.3,6.87017E+18,汽车,174709,15000,0.87,0.28,0.3,0.11,0.06,66.61,67.92392759,244675,0.0456,0.2669,1.344425742,61.31,12.4,S级
波尔皮拍车小分队,,396.3,7.09872E+18,"才艺技能, 汽车",149568,12000,0.88,0.34,0.26,0.05,0.03,79.14,60,172114,0.0324,0.0941,2.151889854,69.72,12.6,S级
秋秋小跟班【168】,,44.6,7.00247E+18,"剧情搞笑, 汽车",136882,11400,0.91,0.24,0.4,0.13,0.07,71.19,60,53077,0.0058,0.1317,37.03143059,214.78,8.4,A级
于总聊国产车,,329.1,7.21265E+18,汽车,198319,10900,0.92,0.08,0.36,0.34,0.2,78.24,0,137148,0.0138,0.1036,5.759143935,79.48,11.1,S级
夏温呀🐽,,1.5,6.62966E+18,汽车,195893,30000,0.41,0.1,0.36,0.25,0.09,44.6,41.03038067,3242,0.3617,0.0444,25.58348685,9253.55,6.3,B级
亦南Astrid,,4.6,6.79284E+18,汽车,173439,20000,0.89,0.03,0.11,0.32,0.04,42.65,44.11817356,1843,0.9922,0.0145,10.93718197,10851.87,5.5,B级
K董事,,422.5,7.13683E+18,汽车,178737,12000,0.69,0.29,0.29,0.06,0.04,76.07,60,135711,0.0272,0.2477,3.250852699,88.42,12.1,S级
小李侃车,,,6.86773E+18,汽车,218586,45000,0.45,0.09,0.54,0.09,0.24,50.88,51.29083932,33832,0.5755,0.0216,2.311210563,1330.1,8,A级
郑州金莱（飞驰名车）,,,7.24777E+18,汽车,215707,10100,0.98,0.38,0.35,0.07,0.01,77.7,0,242859,0.0073,0.0662,5.696974968,41.59,10.8,S级
小周电电车,,,7.1179E+18,汽车,212880,17000,0.66,0.28,0.53,0.11,0.04,74.66,60,86991,0.0135,0.0677,14.47574185,195.42,10.1,S级
兰妹撩车【飞驰名车】,,,7.27337E+18,汽车,225556,10100,0.95,0.16,0.48,0.24,0.09,73.89,0,135185,0.0152,0.0672,4.915291521,74.71,11.1,S级
艾伯特-,,,6.62966E+18,汽车,217963,15000,0.69,0.32,0.36,0.12,0.03,64.04,42.23046303,1568,0.9176,0.0227,10.42537765,9566.33,8.1,A级
楚少嘚吧车,,,7.01003E+18,汽车,220693,10000,0.97,0.28,0.52,0.12,0.02,66.45,65.95541997,51791,0.023,0.0332,8.394945236,193.08,10.4,S级
金扳手,,,7.01652E+18,汽车,226770,25000,0.94,0.38,0.17,0.04,0.02,70.52,60,71925,0.0098,0.4584,35.46778461,347.58,9.6,A级
CASACH•卡三驰,,,7.17508E+18,汽车,214359,10100,0.83,0.24,0.5,0.14,0.08,71.92,0,135496,0.0139,0.0965,5.362657975,74.54,11.1,S级
78729810536,,,7.29074E+18,汽车,217061,5000,0.97,0.13,0.54,0.24,0.07,76.56,0,77014,0.0301,0.1104,2.15691896,64.92,12.6,S级
汽车有料,,,7.03736E+18,汽车,226318,3500,0.93,0.13,0.39,0.27,0.17,77.74,70.3887298,210167,0.0036,0.3354,4.625950897,16.65,12.4,S级
幸运涛,,,6.97496E+18,汽车,224528,100000,0.33,0.17,0.29,0.09,0.4,67.08,60,3100,0.0483,0.0275,667.8688306,32258.06,6.1,B级
红旗之家,,,6.94715E+18,汽车,221731,7000,0.85,0.25,0.2,0.09,0.14,73.13,67.53853626,144071,0.0237,0.2279,2.050090926,48.59,13.6,S级
粤爱车,,,6.92276E+18,汽车,210889,120000,0.87,0.33,0.42,0.08,0.03,66.35,70.21285597,57092,0.0339,0.1464,62.00208451,2101.87,9.4,A级
爱车车的Tony哥,,,6.83898E+18,汽车,215667,50000,0.78,0.2,0.38,0.17,0.12,64.54,65.02568604,35557,0.0109,0.1065,129.0085205,1406.19,9.4,A级
Ga姐,,,6.78072E+18,汽车,211416,6500,0.62,0.14,0.37,0.2,0.14,43.54,41.62321559,1330,0.6602,0.0153,7.402632604,4887.22,8,A级
车技集合,,,7.04269E+18,汽车,227790,40000,0.89,0.24,0.4,0.17,0.12,68.6,60,23614,0.0083,0.1264,204.0855894,1693.91,8.4,A级
307树车市新风,,,6.99912E+18,汽车,228858,30000,0.92,0.19,0.41,0.21,0.14,63.05,60,48381,0.02,0.0724,31.00390649,620.08,8.4,A级
有趣的车主,,,6.76647E+18,汽车,228330,31600,0.94,0.07,0.31,0.32,0.28,79.31,60,18741,0.0064,0.2417,263.459794,1686.14,7.8,A级
玩坦克的W小姐,,,7.12551E+18,汽车,213686,9300,0.81,0.36,0.4,0.08,0.03,68.84,60,58412,0.0119,0.1805,13.37931598,159.21,8.9,A级
佟音bro,,,7.01067E+18,汽车,219040,55000,0.65,0.16,0.4,0.14,0.22,75.12,66.13915071,27105,0.0171,0.0743,118.6635037,2029.15,10.6,S级
101dd,,,6.87017E+18,汽车,225016,13888,0.88,0.27,0.39,0.09,0.04,69.65,69.77981955,46021,0.0187,0.2457,16.13771532,301.78,9.9,A级
特技车手李三金,,,7.07142E+18,汽车,220314,9000,0.96,0.22,0.49,0.17,0.04,74.58,60,94788,0.0108,0.2802,8.79154886,94.95,11.1,S级
车哥同学的日常,,,7.25003E+18,汽车,218688,12200,0.9,0.14,0.43,0.28,0.12,64.23,0,95141,0.0125,0.0549,10.2584585,128.23,9.4,A级
晴子说车,,,7.07607E+18,汽车,222650,15000,0.96,0.35,0.46,0.07,0.02,71.06,70.35988284,51181,0.0209,0.1006,14.02284733,293.08,11.1,S级
毒辣说车,,,6.85251E+18,汽车,221953,18000,0.87,0.27,0.37,0.12,0.11,80.57,60,76063,0.0139,0.0527,17.02488764,236.65,10.1,S级
饭饭酱饭,,,6.98689E+18,汽车,223621,13700,0.91,0.36,0.35,0.05,0.01,60.51,67.49179774,48082,0.0927,0.0976,3.073677577,284.93,11.4,S级
边开边聊,,,7.19436E+18,汽车,214897,25400,0.95,0.36,0.27,0.05,0.03,79.65,0,34454,0.0101,0.0328,72.99156804,737.21,9.6,A级
易车为所欲为,,,7.18241E+18,"旅行, 汽车",212708,11000,0.92,0.36,0.28,0.06,0.02,71.38,0,170812,0.0215,0.0483,2.995269109,64.4,12.6,S级
痞文Car迷,,,7.03181E+18,汽车,225331,8000,0.87,0.27,0.32,0.09,0.06,77.57,60,66927,0.0236,0.0281,5.064967066,119.53,10.3,S级
赖工车评,,,7.01766E+18,汽车,215911,20900,0.95,0.23,0.51,0.17,0.05,77.96,90.03430245,47246,0.0198,0.0981,22.34169148,442.37,13.6,S级
红薯说车,,,7.20303E+18,汽车,223264,17600,0.96,0.22,0.5,0.17,0.04,74.28,0,20241,0.0125,0.063,69.56178054,869.52,9.6,A级
王铸,,,7.0766E+18,汽车,219297,0,0.93,0.32,0.34,0.08,0.03,70.81,69.81084834,21574,0.0214,0.0879,0,,12.6,S级
云南老甘说车,,,6.98915E+18,汽车,215005,6700,0.92,0.3,0.44,0.13,0.04,73.04,69.22908063,55893,0.0133,0.0829,9.012924668,119.87,12.1,S级
酷车驿站,,,7.04297E+18,汽车,226878,13300,0.9,0.14,0.5,0.22,0.1,65.44,60,44107,0.0112,0.1128,26.92316412,301.54,8.4,A级
小明说驾车,,,7.04297E+18,汽车,219745,16988,0.84,0.23,0.39,0.2,0.1,74.53,68.59428288,23422,0.0095,0.0572,76.34747359,725.3,10.6,S级
啊澎哥说车,,,7.05228E+18,汽车,221101,8000,0.9,0.12,0.42,0.28,0.14,70.29,60,36580,0.0126,0.0452,17.35704305,218.7,10.1,S级
玩车的化工佬,,,7.22E+18,汽车,221927,23900,0.65,0.09,0.26,0.14,0.48,66.9,0,24686,0.034,0.0796,28.47529679,968.16,7.4,A级
自吸涡轮怎么选,,,7.13249E+18,汽车,217873,10000,0.77,0.29,0.33,0.08,0.04,82.22,60,17020,0.0072,0.2015,81.60334247,587.54,8.8,A级
狗哥FastDog,,,6.84367E+18,汽车,220017,40000,0.87,0.34,0.38,0.07,0.07,66.89,69.44267768,11801,0.0207,0.1145,163.7460512,3389.54,9.4,A级
小贝爱拍车,,,6.94614E+18,汽车,229635,8200,0.63,0.18,0.38,0.22,0.16,72.92,60,31911,0.0343,0.0405,7.491681721,256.96,10.6,S级
大磊言车,,,6.95355E+18,"汽车, 测评",226536,46000,0.94,0.33,0.25,0.06,0.04,73.73,67.81352798,14599,0.0059,0.0295,534.050974,3150.9,8.6,A级
成都车厘子性能车尚酷哥,,,7.26133E+18,汽车,229156,7800,0.93,0.24,0.46,0.18,0.06,63.2,0,32035,0.0111,0.0835,21.93546754,243.48,8.4,A级
可欣驾道,,,6.84738E+18,汽车,219319,34500,0.49,0.07,0.13,0.18,0.58,57.15,52.16284322,2138,0.0336,0.1402,480.2552452,16136.58,4.3,C级
汽摩频道,,,7.15578E+18,汽车,227906,21800,0.93,0.18,0.47,0.23,0.09,68.16,66.6065524,12467,0.0063,0.1094,277.5581503,1748.62,8.6,A级
我是高小姐啊～,,,6.85002E+18,汽车,220577,12000,0.64,0.37,0.34,0.07,0.03,69.44,65.68858734,18803,0.0155,0.1081,41.17393758,638.2,9.4,A级
可白,,,7.14812E+18,汽车,227596,7200,0.95,0.18,0.46,0.21,0.09,67.04,60,30297,0.0446,0.1514,5.328414615,237.65,9.4,A级
妙妙爱说车,,,6.85587E+18,汽车,217650,8000,0.74,0.14,0.39,0.22,0.22,77.28,68.56844574,41096,0.0068,0.1718,28.62737464,194.67,9.8,A级
曾小闲,,,6.87016E+18,汽车,222779,4000,0.73,0.24,0.44,0.11,0.08,67.91,62.003571,15361,0.0251,0.1553,10.37449058,260.4,8.9,A级
小林说车,,,6.8814E+18,汽车,218387,11200,0.81,0.09,0.31,0.3,0.29,70.35,60,13318,0.0066,0.0862,127.4192594,840.97,8.8,A级
仔娃豪车库 Car,,,6.92002E+18,汽车,210502,500000,0.57,0.03,0.1,0.16,0.7,55.08,57.28144823,1235,0,,5E+14,404858.3,2.6,C级
童姑娘,,484.8,7.28527E+18,汽车,252907,22000,0.88,0.06,0.34,0.38,0.21,76.51,0,170381,0.0101,0.2381,12.78439393,129.12,10.6,S级
FAN 国🌟威,,277.6,7.1618E+18,汽车,261170,25000,0.98,0.38,0.4,0.06,0.01,74.8,0,257715,0.0107,0.0931,9.066017105,97.01,11.1,S级
车造-宗泽远,,44.6,7.22547E+18,汽车,248231,100000,0.64,0.19,0.34,0.12,0.29,62.01,0,42739,0.0598,0.0331,39.12681164,2339.78,8.4,A级
姣gg,,172.1,6.87017E+18,汽车,249609,16400,0.82,0.27,0.37,0.09,0.1,76.43,68.41901343,1052665,0.0077,0.1176,2.023312383,15.58,13.8,S级
傢樂🏍️,,212,7.02455E+18,汽车,254718,20000,0.85,0.29,0.27,0.07,0.06,74.71,69.67088052,115319,0.024,0.2572,7.226331596,173.43,11.6,S级
Ann姐聊车,,431.4,6.87016E+18,汽车,267559,18000,0.91,0.14,0.51,0.24,0.09,78.97,0,56098,0.0148,0.2166,21.68020636,320.87,9.6,A级
懂车的梦姐姐,,6.7,6.62966E+18,汽车,288342,38800,0.64,0.3,0.15,0.17,0.07,51.83,39.55806186,1501,1,0.0361,25.84943371,25849.43,7.8,A级
壹七七,,249.4,7.23615E+18,汽车,298133,7300,0.96,0.32,0.36,0.08,0.02,82.7,0,130971,0.028,0.2123,1.99062606,55.74,12.6,S级
六月🏍️,,267.9,6.93934E+18,汽车,277981,9000,0.76,0.2,0.13,0.06,0.05,74.55,60,202955,0.049,0.0868,0.904996031,44.34,11.6,S级
陈庚auto,,203.1,6.75056E+18,汽车,253592,150000,0.93,0.25,0.52,0.13,0.05,71.9,65.97945324,101442,0.0132,0.1054,112.0210205,1478.68,10.6,S级
呼叫小酌,,34.1,7.03639E+18,汽车,258631,28000,0.93,0.32,0.27,0.05,0.03,66.79,60,66812,0.0643,0.1471,6.517673276,419.09,9.4,A级
SCC宽宽,,48.1,6.87016E+18,汽车,301417,400000,0.91,0.36,0.4,0.06,0.02,63.27,65.04497575,88637,0.015,0.0636,300.8525409,4512.79,9.4,A级
周二瓶_带锤看车,,187.3,6.73236E+18,汽车,279832,39999,0.94,0.3,0.51,0.11,0.03,72.52,65.37062993,57262,0.0106,0.2624,65.89868615,698.53,10.6,S级
极速拍档-小乔,,130,6.87016E+18,汽车,289357,100000,0.95,0.4,0.29,0.04,0.01,71.34,0,95609,0.0265,0.1145,39.46892976,1045.93,9.6,A级
大菠萝,,708.1,6.87017E+18,汽车,248178,70000,0.75,0.23,0.38,0.14,0.17,82.53,60,104125,0.0144,0.1403,46.6853408,672.27,9.6,A级
杰哥的车铺,,105,7.05029E+18,汽车,304339,20000,0.98,0.23,0.49,0.16,0.04,72.34,0,100390,0.0125,0.1239,15.93784241,199.22,10.1,S级
大虾试车真香,,366.1,7.13545E+18,汽车,309272,20000,0.93,0.39,0.23,0.04,0.03,73.01,60,107419,0.0126,0.015,14.77673026,186.19,9.3,A级
奥迪之家,,113.5,6.92802E+18,汽车,292495,9600,0.88,0.34,0.22,0.05,0.04,73.78,67.78018649,56853,0.0339,0.158,4.981018428,168.86,11.6,S级
北流市科长好车,,119.3,6.87016E+18,汽车,242921,9300,0.83,0.31,0.36,0.1,0.03,71.99,72.51009454,258331,0.0089,0.1755,4.044980356,36,11.6,S级
澡王汽修故事,,53.3,6.95768E+18,汽车,271337,28000,0.98,0.44,0.39,0.05,0.01,67.55,71.19105374,159329,0.0094,0.1453,18.69542522,175.74,9.9,A级
侃车小鹏哥,,249.6,7.00465E+18,汽车,308175,25800,0.87,0.21,0.39,0.17,0.18,73.31,72.23545537,113768,0.0104,0.1507,21.80550973,226.78,9.6,A级
Lookcar TV「超清4K」,,139.2,7.12912E+18,汽车,306330,11700,0.82,0.27,0.29,0.06,0.06,71.54,60,42937,0.037,0.109,7.36465557,272.49,10.6,S级
MoMo不冷,,3.1,6.70192E+18,汽车,305062,12000,0.75,0.12,0.35,0.19,0.11,43.19,36.69221266,1552,1,0.0124,7.731958763,7731.96,8,A级
爆哥,,526.9,6.87016E+18,汽车,269253,20000,0.83,0.23,0.43,0.14,0.12,79.59,67.76749457,30199,0.0067,0.1066,98.84680376,662.27,9.8,A级
Auto Fans,,960.6,6.97667E+18,汽车,263363,25300,0.92,0.31,0.3,0.08,0.04,80.83,69.75050725,266263,0.0152,0.4581,6.251239129,95.02,12.1,S级
力哥电车,,318.7,7.0302E+18,汽车,271133,30000,0.92,0.17,0.52,0.2,0.08,78.41,70.23516757,64703,0.0071,0.1287,65.30380527,463.66,9.8,A级
阿坛淘车-摩托车,,89.2,7.01211E+18,汽车,255569,30000,0.93,0.25,0.28,0.09,0.14,67.45,60,69580,0.0173,0.0368,24.92244964,431.16,8.4,A级
机车小结巴（抠脚妹🏍️）,,1245,6.87016E+18,汽车,255983,8000,0.88,0.24,0.34,0.13,0.11,79.35,60,74575,0.0196,0.3366,5.473191623,71.07,11.1,S级
上海汽车博物馆,,7.6,6.90417E+18,汽车,276135,80000,0.59,0.12,0.44,0.16,0.22,54.51,51.76322291,1436,1,0.0114,55.71030641,55710.31,6.6,B级
书生（机械）,,107.5,6.96549E+18,汽车,284533,6000,0.97,0.22,0.51,0.19,0.04,67.09,70.71544616,193701,0.0066,0.199,4.693269054,30.98,11.6,S级
井哥说车,,136,6.92022E+18,汽车,289141,29999,0.93,0.34,0.26,0.05,0.04,72.16,69.33454449,61277,0.0271,0.0431,18.06508429,489.56,11.1,S级
晚晚爱美丽,,2.9,6.62966E+18,"汽车, 颜值达人",280906,30000,0.61,0.18,0.39,0.16,0.1,57.71,39.0744418,2144,0.5519,0.009,25.35339249,13992.54,6.6,B级
攀比兄弟,,88.7,6.87017E+18,汽车,297648,80000,0.92,0.42,0.29,0.04,0.02,68.43,71.63460349,83845,0.0253,0.2416,37.71310556,954.14,9.4,A级
懂车的小白,,228.7,6.83693E+18,"汽车, 测评",276171,50000,0.92,0.28,0.42,0.12,0.08,72,70.59421812,64425,0.0301,0.0914,25.7839281,776.1,10.6,S级
橙子碰碰车（武汉美驰）,,82.9,7.1899E+18,汽车,244033,12300,0.97,0.26,0.53,0.12,0.02,70.95,0,55672,0.0097,0.1072,22.77700167,220.94,9.6,A级
ToCars,,91.3,7.02698E+18,"房产, 汽车",294793,19600,0.5,0.2,0.17,0.09,0.08,73.14,68.41991999,21190,0.0505,0.1092,18.31613081,924.96,10.1,S级
带头大哥自制跑车,,18.7,6.94217E+18,汽车,267868,20000,0.97,0.2,0.51,0.18,0.04,65.87,70.81360713,46803,0.0228,0.0936,18.74223837,427.32,9.9,A级
电车猫斗斗,,22.9,7.11983E+18,汽车,247999,25000,0.95,0.33,0.38,0.07,0.08,68.77,60,40992,0.0305,0.0513,19.99590484,609.88,8.9,A级
劲车频道,,0.4,6.95088E+18,汽车,263573,52000,0.62,0.1,0.45,0.2,0.2,46.73,35.09707802,1153,0.0158,0.0189,2854.413912,45099.74,7,B级
大东道车,,162.8,6.84937E+18,汽车,298781,49000,0.7,0.17,0.33,0.12,0.33,70.9,69.14653274,56540,0.011,0.1031,78.78573496,866.64,10.6,S级
阿ོ康ོ,,6.2,6.69168E+18,汽车,245357,10600,0.94,0.31,0.36,0.11,0.03,64.58,67.42334563,9285,0.0081,0.239,140.9415159,1141.63,9.4,A级
机油秋,,205.2,7.26058E+18,汽车,241877,5000,0.99,0.4,0.33,0.05,0.01,73.07,0,47423,0.0546,0.2548,1.931026961,105.43,12.1,S级
小金牙🏍️,,16.5,7.01732E+18,汽车,293956,19900,0.66,0.22,0.16,0.07,0.07,64.45,69.93902264,30881,0.0453,0.3748,14.22536829,644.41,8.9,A级
车图腾,,23.5,6.73236E+18,"汽车, 测评",295433,100000,0.87,0.17,0.47,0.21,0.11,71.62,66.88686628,3391,0.2419,0.0404,121.9091609,29489.83,10.6,S级
汽车小鱼,,219.3,7.04602E+18,汽车,258148,8500,0.8,0.36,0.4,0.12,0.04,74.71,84.95513217,54120,0.0077,0.0633,20.39719335,157.06,12.8,S级
小代VQ37,,390.9,6.9201E+18,汽车,242766,12000,0.97,0.37,0.38,0.06,0.02,77.76,67.16482955,77475,0.0249,0.1824,6.220428665,154.89,11.6,S级
大神修车,,94.8,6.98177E+18,汽车,240861,10300,0.97,0.24,0.44,0.17,0.06,70.44,60,46013,0.0116,0.0391,19.29739496,223.85,10.1,S级
Michael Cars,,125.6,7.11671E+18,汽车,308650,11600,0.79,0.19,0.24,0.08,0.14,71.8,60,28294,0.0303,0.0903,13.53072326,409.98,10.1,S级
简单哥,,76,7.11977E+18,汽车,293007,35000,0.83,0.08,0.39,0.27,0.24,72.49,67.03896795,58438,0.017,0.1684,35.23090334,598.93,10.6,S级
四万大叔,,10.4,6.80459E+18,汽车,286870,400000,0.89,0.25,0.45,0.11,0.04,64.57,56.61831991,9674,0.0202,0.0356,2046.927868,41347.94,8.4,A级
张哥的汽车Vlog,,1196.9,6.99798E+18,汽车,418522,35000,0.8,0.38,0.33,0.07,0.01,84.82,67.40904839,18180416,0.0106,0.058,0.18161778,1.93,14.6,S级
小雨玩车,,1310.4,7.02209E+18,汽车,412381,25000,0.84,0.29,0.41,0.1,0.03,82.46,60,2272987,0.0086,0.1244,1.278923612,11,13.6,S级
椰子冰茶🏍️,,3511.8,7.08796E+18,汽车,431460,23800,0.89,0.3,0.38,0.08,0.03,82.67,60,673492,0.0076,0.3468,4.649764136,35.34,10.8,S级
拜托了飞哥,,597.7,7.04672E+18,汽车,436540,105000,0.95,0.14,0.54,0.22,0.07,78.25,67.6335746,250412,0.0207,0.1434,20.25647241,419.31,10.6,S级
老任聊聊车,,663.2,7.02589E+18,汽车,450053,40000,0.94,0.2,0.49,0.2,0.07,77.19,69.2778841,168594,0.0151,0.1587,15.71234221,237.26,11.1,S级
Aventador,,840.2,7.17808E+18,汽车,365676,12700,0.82,0.16,0.25,0.09,0.13,81.01,0,239160,0.0456,0.2762,1.164529068,53.1,12.6,S级
